站名,年月,單日雨量,經度,緯度
湖田國小,202312,61,121.53895,25.168698
大屯國小,202312,65,121.50408,25.155133
桃源國中,202312,59.5,121.476976,25.134551
北投國小,202312,60,121.499824,25.133619
陽明高中,202312,54,121.516857,25.09266
太平國小,202312,62,121.511831,25.061093
民生國中,202312,53.5,121.56656,25.060044
中正國中,202312,58,121.522218,25.031927
三興國小,202312,56.5,121.558264,25.029317
格致國中,202312,61.5,121.545783,25.131378
平等國小,202312,60.5,121.57665,25.129446
至善國中,202312,56,121.556005,25.103701
碧湖國小,202312,58.5,121.591445,25.084736
東湖國小,202312,54.5,121.616621,25.069307
留公國中,202312,58,121.585566,25.037355
舊莊國小,202312,52.5,121.619889,25.039778
市政中心,202312,59,121.564625,25.037184
博嘉國小,202312,48,121.498825,25.028118
北政國中,202312,44,121.575444,25.002378
長安國小,202312,61.5,121.577678,24.984611
富德公墓,202312,53,121.530589,25.0492
萬華國中,202312,56,121.580111,25.011694
永建國小,202312,46,121.555,24.988
五常國小,202312,59,121.542194,25.064001
潭美國小,202312,55,121.581219,25.058997
仁愛國小,202312,55.5,121.551971,25.036236
興華國小,202312,47,121.559363,25.000094
台灣大學(新),202312,54.5,121.53893,25.014461
望星橋,202312,53,121.542652,25.096993
白馬山莊,202312,60.5,121.623235,25.077161
中和橋,202312,59,121.501944,25.138975
磺溪橋,202312,55,121.524257,25.118654
宜興橋,202312,52.5,121.620338,25.041981
雙溪,202312,57,121.569646,25.113829
